in update mr0: q=0.50, mr0=0.88, mult0=0.06, mr1=0.0000, mult1=0.0000, spec_accs_cnt=1000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.90, mult0=0.05, mr1=0.0000, mult1=0.0000, spec_accs_cnt=2000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.92, mult0=0.04, mr1=0.0000, mult1=0.0000, spec_accs_cnt=3000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.93, mult0=0.04, mr1=0.0000, mult1=0.0000, spec_accs_cnt=4000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.93, mult0=0.03, mr1=0.0000, mult1=0.0000, spec_accs_cnt=5000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.94, mult0=0.03, mr1=0.0000, mult1=0.0000, spec_accs_cnt=6000, reg_accs_cnt=0
advertising
in update mr0: q=0.06, mr0=0.88, mult0=0.11, mr1=0.0010, mult1=0.0001, spec_accs_cnt=1000, reg_accs_cnt=83
in update mr0: q=0.06, mr0=0.91, mult0=0.09, mr1=0.0010, mult1=0.0001, spec_accs_cnt=2000, reg_accs_cnt=118
in update mr0: q=0.05, mr0=0.92, mult0=0.07, mr1=0.0010, mult1=0.0001, spec_accs_cnt=3000, reg_accs_cnt=180
in update mr0: q=0.06, mr0=0.93, mult0=0.07, mr1=0.0010, mult1=0.0001, spec_accs_cnt=4000, reg_accs_cnt=268
in update mr0: q=0.06, mr0=0.92, mult0=0.08, mr1=0.0010, mult1=0.0001, spec_accs_cnt=5000, reg_accs_cnt=375
in update mr0: q=0.07, mr0=0.90, mult0=0.09, mr1=0.0010, mult1=0.0001, spec_accs_cnt=6000, reg_accs_cnt=470
in update mr0: q=0.07, mr0=0.90, mult0=0.09, mr1=0.0010, mult1=0.0001, spec_accs_cnt=7000, reg_accs_cnt=592
in update mr0: q=0.08, mr0=0.89, mult0=0.10, mr1=0.0010, mult1=0.0001, spec_accs_cnt=8000, reg_accs_cnt=713
in update mr0: q=0.08, mr0=0.89, mult0=0.10, mr1=0.0010, mult1=0.0001, spec_accs_cnt=9000, reg_accs_cnt=731
in update mr0: q=0.07, mr0=0.89, mult0=0.10, mr1=0.0010, mult1=0.0001, spec_accs_cnt=10000, reg_accs_cnt=780
in update mr0: q=0.06, mr0=0.89, mult0=0.11, mr1=0.0010, mult1=0.0001, spec_accs_cnt=11000, reg_accs_cnt=790
in update mr0: q=0.05, mr0=0.89, mult0=0.10, mr1=0.0010, mult1=0.0000, spec_accs_cnt=12000, reg_accs_cnt=838
in update mr0: q=0.05, mr0=0.90, mult0=0.10, mr1=0.0010, mult1=0.0001, spec_accs_cnt=13000, reg_accs_cnt=918
in update mr1: q=0.05, mr0=0.90, mult0=0.10, mr1=0.0008, mult1=0.0000, spec_accs_cnt=13748, reg_accs_cnt=1000
in update mr0: q=0.07, mr0=0.90, mult0=0.09, mr1=0.0008, mult1=0.0000, spec_accs_cnt=14000, reg_accs_cnt=1041
in update mr0: q=0.07, mr0=0.89, mult0=0.10, mr1=0.0008, mult1=0.0001, spec_accs_cnt=15000, reg_accs_cnt=1187
in update mr0: q=0.08, mr0=0.88, mult0=0.11, mr1=0.0008, mult1=0.0001, spec_accs_cnt=16000, reg_accs_cnt=1290
in update mr0: q=0.08, mr0=0.89, mult0=0.10, mr1=0.0008, mult1=0.0001, spec_accs_cnt=17000, reg_accs_cnt=1328
in update mr0: q=0.07, mr0=0.89, mult0=0.10, mr1=0.0008, mult1=0.0001, spec_accs_cnt=18000, reg_accs_cnt=1372
in update mr0: q=0.06, mr0=0.89, mult0=0.10, mr1=0.0008, mult1=0.0000, spec_accs_cnt=19000, reg_accs_cnt=1405
in update mr0: q=0.05, mr0=0.89, mult0=0.10, mr1=0.0008, mult1=0.0000, spec_accs_cnt=20000, reg_accs_cnt=1413
in update mr0: q=0.04, mr0=0.86, mult0=0.13, mr1=0.0008, mult1=0.0000, spec_accs_cnt=21000, reg_accs_cnt=1427
calling from mr0
advertising
in update mr0: q=0.08, mr0=0.88, mult0=0.11, mr1=0.0010, mult1=0.0001, spec_accs_cnt=1000, reg_accs_cnt=257
in update mr0: q=0.09, mr0=0.91, mult0=0.08, mr1=0.0010, mult1=0.0001, spec_accs_cnt=2000, reg_accs_cnt=384
in update mr0: q=0.10, mr0=0.93, mult0=0.06, mr1=0.0010, mult1=0.0001, spec_accs_cnt=3000, reg_accs_cnt=538
in update mr0: q=0.11, mr0=0.95, mult0=0.05, mr1=0.0010, mult1=0.0001, spec_accs_cnt=4000, reg_accs_cnt=695
in update mr0: q=0.13, mr0=0.95, mult0=0.04, mr1=0.0010, mult1=0.0001, spec_accs_cnt=5000, reg_accs_cnt=931
in update mr1: q=0.13, mr0=0.95, mult0=0.04, mr1=0.0008, mult1=0.0001, spec_accs_cnt=5249, reg_accs_cnt=1000
in update mr0: q=0.14, mr0=0.96, mult0=0.04, mr1=0.0008, mult1=0.0001, spec_accs_cnt=6000, reg_accs_cnt=1161
in update mr0: q=0.16, mr0=0.96, mult0=0.03, mr1=0.0008, mult1=0.0001, spec_accs_cnt=7000, reg_accs_cnt=1502
in update mr0: q=0.18, mr0=0.95, mult0=0.04, mr1=0.0008, mult1=0.0001, spec_accs_cnt=8000, reg_accs_cnt=1710
in update mr0: q=0.18, mr0=0.96, mult0=0.03, mr1=0.0008, mult1=0.0001, spec_accs_cnt=9000, reg_accs_cnt=1944
in update mr1: q=0.18, mr0=0.96, mult0=0.03, mr1=0.0008, mult1=0.0001, spec_accs_cnt=9212, reg_accs_cnt=2000
in update mr0: q=0.19, mr0=0.97, mult0=0.03, mr1=0.0008, mult1=0.0002, spec_accs_cnt=10000, reg_accs_cnt=2275
in update mr0: q=0.20, mr0=0.97, mult0=0.03, mr1=0.0008, mult1=0.0002, spec_accs_cnt=11000, reg_accs_cnt=2578
